ID,word
1,喉越しが良いから
2,自分に合っている
3,一番美味しいから
4,とてもおいしいから。
5,美味しいから
6,安くて美味しい
7,本格的で 味を含めて好きです
8,他にはない味わいだから
9,美味しいから
10,生ビールに近い味わいだから
11,キリンビールが好きだから
12,特に無し
13,より味がビールに近いと思うから。
14,味が美味しくビールを飲んでいるのと同じ味わいが楽しめるため
15,飽きのない味だから。
16,濃さがある
17,飲みやすいから
18,ビールに負けじと味が美味しい。第三のビールなので値段が安い
19,おいしいから
20,美味しいから
21,味が濃厚で美味しいから
22,本物
23,とにかく美味しい。味が本格的。
24,旨い
25,美味しい
26,美味しいと思いますよ
27,一度飲んでみて、おいしかったから。飲みやすい。高級感がある。
28,おいしいから
29,値段の割に味がおいしいから。
30,好みだから
31,味
32,味がいいから
33,手頃な価格で飲みやすく飽きにくい
34,好み
35,本格的な味わいでビールのようであるため
36,キャンペーンがやっていて二度おいしい
37,味が整っている
38,美味しいから
39,おいしい
40,飲み飽きない味。
41,値段が手頃だから
42,新ジャンルの中では、アルコール度数が高く、程よく酔えるので。
43,苦味とコクがしっかりあって、グッとくるのどごしの良さを感じる。ほどよいキレで後味の余韻もいい。
44,特にありません
45,いつでもどこでも買える安心感がある
46,お試しで飲んだら良かったから
47,ビールと遜色のない味なので
48,安い割には美味しいから
49,おいしいからと、その上安いからですね。
50,スーパードライをいつも買っているが、代替品を探していて、本麒麟を見つけ、少し品質の良いビールと感じたので買いました。
51,おいしい
52,飲みやすくて香りがよいから。
53,タモリが出演しているコマーシャルを見て買ったら美味しかったから
54,美味しい
55,ビールより安く買えるのにビールに近いくらい美味しいから
56,美味いから
57,のどごしが良くて、飲んだ後の爽快感と爽やかな感じが良く、ビールとして全体的にバランスが取れている。
58,美味しいから。
59,安い上、飲みごたえがあるから
60,コクがある。食事に合う。程よい苦味がある。
61,とにかくコスパが良いからです。
62,新ジャンルの中では麦の苦みとコクがしっかり感じられて、ビールに近い味わいで本格感がある。CMや広告でも話題で売れているので安心感がある。
63,タモリCM
64,昔から、麒麟派だから
65,おいしい
66,ほかのビールとは違う味わい
67,味がビールに近い
68,美味しい
69,おいしいから
70,美味しい、喉越しに適度な重さがあり、飲みごたえがある。後味が良い。
71,普段は一番搾りを飲むが、本麒麟は手軽に少しだけ飲みたい時用
72,おいしい
73,独自性が高く喉ごしの良さ
74,飲みやすく美味しいから。
75,おいしい
76,ビールに近い味わいなので
77,安くてそこそこおいしい
78,自分に合う
79,飲みやすくておいしい。
80,あらゆる要素のバランスが良い
81,普通においしい
82,安かった
83,やはり味が良いこと。コスパも良い。
84,ビールに近い
85,自分の口に合うから
86,美味しいから
87,キレがあるので
88,ビールに近い 苦味がちゃんとある 余計な香りがない
89,おいしい
90,喉越しや後味等がスッキリしていて本格的な感じがするとても飲みやすい商品だから。
91,美味しい
92,キリンの力を入れている製品だけあり、コク、旨味、キレ、濃い味、余韻の残る後味で美味しい。
93,味が好きなので
94,飲みやすい
95,コクがありビールに近い
96,いつも飲んでいるから。
97,CMの影響かな。
98,新鮮
99,美味しいから
100,ビールと同じであり満足している。
101,美味しい
102,第3のビールにしては本格的なビールと同じ味わいが感じられる。
103,ビールに近い味わいがあり、値段も安いから
104,おいしい
105,いろいろ味を試す為
106,とても美味しいリーズナブル
107,飲みやすくて安いもの
108,頑張ってビールに似せている
109,コクがあっておいしい
110,美味しい
111,おいしそう
112,美味しい
113,美味しい
114,コクがあって喉越しがよく飲み飽きない味だから
115,始めは、CMを見ていて飲みたいと感じたのが、始まりでした。
116,低価格の割に本格的だから
117,コクがあり飲みやすいから。
118,キレがいい 
119,なんとなく
120,安くておいしい
121,安く好みの味である事
122,美味しい
123,うまい 
124,苦味がいいから
125,話題性がある
126,安くておいしい
127,特にないです
128,テレビCMでよく見る
129,後味が良いから
130,飲みやすい
131,最近CMで見る機会が多く俳優さんたちがおいしそうに飲むから！
132,安くて飲みやすいから
133,苦味が苦手な方な自分には飲みやすく感じたからです。
134,美味しい
135,好みの味でパッケージがよい
136,cmみてのんでみたくなった 
137,CMをみて色々な金賞を受賞しているので飲んでみたいと思ったから
138,味がビールに近い
139,ビールみたいで本格的な味
140,パッケージで選んだ。色合いがよく目立つてたので。
141,味の割りに価格が手ごろでおいしい
142,本格的なので。
143,なんとなく
144,おいしいので。
145,安くてビールに近くておいしいから
146,サッポロゴールドスター。とてものみやすくておいしいのに安っぽい感じがない
147,CMのイメージがよく味も後味がよくのみあきない
148,美味しいから。味がビールに近いと感じたから。味が濃いから
149,おいしい
150,息子の彼女の父親から勧められたから
151,味はしっかりしていますので大好きです
152,おいしい
153,安いのに、ビールに近くてとても美味しいから。
154,おいしい
155,実際はアサヒスーパードライをよく飲んでいますが こちらのアンケートの中では本麒麟が好きです 理由はCMがきっかけで購入意欲が湧き飲んだらコクがあって飲みやすかったからです
156,おいしい。食事に合う。ビールと比べてもさほど差を感じない。
157,一度飲んで美味しかったのでそれ以降ずっと飲んでいる
158,味が好き
159,コクがありおいしいので。
160,本格的でコクがあるのでとにかく美味しいし、飲みやすいので好きだから。
161,味が好みだから
162,安いのに味が美味しい
163,コクとキレがビールみたいだから。
164,バランスの良さ
165,YOSHIKIがcmに出ていたので買ってみたら本当に美味しかったから、それ以来ずっと買っている
166,麦芽100%で本格的
167,飲みやすくコクがある
168,食事に合うから
169,美味しそう
170,プライベートブランドの発泡酒を主に買っているがさほどビール類の味にこだわりがないのでできるだけ安くて最低限の味のクオリティのあるものを買っている。
171,おいしい
172,飲みごたえがあって味が美味しい
173,本麒麟は低価格でも雑味の無い味わいで上質な苦味がある
174,美味しいから
175,飲みごたえがあり美味しい。
176,いつも行くスーパーに売っているから
177,CMで杏さんや江口さんが美味しそうに飲んでいたので買いたくなったから。
178,飲みやすく、おいしい
179,好みの味
180,美味しい
181,飲みごたえがあるから
182,安いけど美味しい 
183,CMで、賞をたくさん受賞したと聞いたから
184,アルコール度数が高い
185,第三のビールなのに、ビールのような本格感があって美味しい
186, 今一番売れている、人気がある
187,好みの味である
188,美味しい
189,赤い缶の色が綺麗で 女性向きで手に取りやすい コクがありクセが無く飲みやすい　
190,美味しいからです
191,飲みやすく美味しい
192,とても飲みやすくてコクもあり美味しいため
193,コクとのど越し
194,価格以上の価値があるビールだと思います。飲み飽きない味が気に入っています。
195,ビールに近い本格的な味でコクがあり、のどごしも良いし美味しい。
196,プレミアムビールに近い味がする第三のビールだから
197,飲みごたえがあっておいしい
198,ビールに近い本格感があり、コクがありつつも飲みやすい
